date,stock_id,open,high,low,close,spread,trading_volume,trading_money,trading_turnover,industry_category,stock_name,type,date_right,rolling_max_20,break_20_day_high,is_20_day_high,short_entry
2022-11-14T00:00:00.000000,6462,62.0,62.6,61.8,62.6,62.6,154000,9581900,126,半導體業,神盾,tpex,2025-04-14,62.6,0,1,0
2022-11-15T00:00:00.000000,6462,63.1,63.1,62.0,62.8,62.8,128000,8004700,104,半導體業,神盾,tpex,2025-04-14,62.8,1,1,0
2022-11-16T00:00:00.000000,6462,63.4,63.9,62.3,63.5,63.5,121000,7650100,106,半導體業,神盾,tpex,2025-04-14,63.5,1,1,1
2022-11-17T00:00:00.000000,6462,63.7,64.2,62.6,64.0,64.0,169000,10755500,133,半導體業,神盾,tpex,2025-04-14,64.0,1,1,1
2022-11-18T00:00:00.000000,6462,64.1,65.6,63.5,64.1,64.1,160000,10337100,139,半導體業,神盾,tpex,2025-04-14,64.1,1,1,1
2022-11-21T00:00:00.000000,6462,63.3,63.8,63.0,63.0,63.0,67000,4247000,56,半導體業,神盾,tpex,2025-04-14,64.1,0,0,1
2022-11-22T00:00:00.000000,6462,63.3,63.4,61.4,61.4,61.4,131000,8149600,107,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-23T00:00:00.000000,6462,62.2,62.5,61.8,62.1,62.1,66000,4102900,54,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-24T00:00:00.000000,6462,62.1,64.1,62.1,63.9,63.9,168000,10668000,130,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-25T00:00:00.000000,6462,64.6,64.6,63.4,63.6,63.6,65000,4149900,60,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-28T00:00:00.000000,6462,63.0,63.8,63.0,63.7,63.7,30000,1898200,29,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-29T00:00:00.000000,6462,63.5,64.0,63.0,63.4,63.4,48000,3049200,42,半導體業,神盾,tpex,2025-04-14,64.1,0,0,0
2022-11-30T00:00:00.000000,6462,63.4,66.0,63.4,65.1,65.1,138000,8991100,123,半導體業,神盾,tpex,2025-04-14,65.1,1,1,0
2022-12-01T00:00:00.000000,6462,66.4,66.5,65.3,65.7,65.7,124000,8162100,106,半導體業,神盾,tpex,2025-04-14,65.7,1,1,1
2022-12-02T00:00:00.000000,6462,65.9,67.5,65.9,66.8,66.8,153000,10226700,139,半導體業,神盾,tpex,2025-04-14,66.8,1,1,1
2022-12-05T00:00:00.000000,6462,66.7,68.1,66.5,67.6,67.6,133000,8975200,116,半導體業,神盾,tpex,2025-04-14,67.6,1,1,1
2022-12-06T00:00:00.000000,6462,68.0,68.0,65.0,65.0,65.0,249000,16496800,186,半導體業,神盾,tpex,2025-04-14,67.6,0,0,1
2022-12-07T00:00:00.000000,6462,65.0,66.5,63.0,63.8,63.8,208000,13389000,128,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-08T00:00:00.000000,6462,63.3,64.3,63.2,64.1,64.1,55000,3507900,53,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-09T00:00:00.000000,6462,64.4,64.4,63.6,63.7,63.7,37000,2364000,35,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-12T00:00:00.000000,6462,63.6,64.0,63.1,63.8,63.8,41000,2606600,34,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-13T00:00:00.000000,6462,64.0,65.5,64.0,64.3,64.3,92000,5938400,74,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-14T00:00:00.000000,6462,64.3,65.8,64.3,64.7,64.7,139000,9038000,98,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-15T00:00:00.000000,6462,64.3,65.5,64.3,65.1,65.1,81000,5282900,71,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-16T00:00:00.000000,6462,64.5,64.6,63.0,64.0,64.0,118000,7508600,85,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-19T00:00:00.000000,6462,64.0,64.3,63.0,63.0,63.0,50000,3172900,47,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-20T00:00:00.000000,6462,63.9,64.0,61.3,61.6,61.6,154000,9614600,103,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-21T00:00:00.000000,6462,61.7,62.9,61.5,62.0,62.0,62000,3845700,61,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-22T00:00:00.000000,6462,62.2,63.9,62.2,62.4,62.4,100000,6288300,75,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-23T00:00:00.000000,6462,62.0,63.3,61.8,62.9,62.9,86000,5372100,67,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-26T00:00:00.000000,6462,62.7,63.7,62.0,62.8,62.8,56000,3512100,54,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
2022-12-27T00:00:00.000000,6462,63.0,63.9,62.6,62.6,62.6,49000,3095800,47,半導體業,神盾,tpex,2025-04-14,67.6,0,0,0
