date,stock_id,open,high,low,close,spread,trading_volume,trading_money,trading_turnover,industry_category,stock_name,type,date_right,rolling_max_20,break_20_day_high,is_20_day_high,short_entry
2022-11-14T00:00:00.000000,2330,450.0,450.0,441.5,445.0,445.0,63282094,28257175788,48957,半導體業,台積電,twse,2025-04-14,445.0,0,1,0
2022-11-15T00:00:00.000000,2330,465.0,487.0,462.0,480.0,480.0,118536865,56191637241,139136,半導體業,台積電,twse,2025-04-14,480.0,1,1,0
2022-11-16T00:00:00.000000,2330,491.5,494.0,481.5,487.0,487.0,88416393,43103738374,98338,半導體業,台積電,twse,2025-04-14,487.0,1,1,1
2022-11-17T00:00:00.000000,2330,482.5,485.0,475.0,485.0,485.0,46850915,22547582604,57331,半導體業,台積電,twse,2025-04-14,487.0,0,0,1
2022-11-18T00:00:00.000000,2330,491.5,494.0,486.0,487.0,487.0,37001332,18131673834,41694,半導體業,台積電,twse,2025-04-14,487.0,0,1,0
2022-11-21T00:00:00.000000,2330,487.5,489.5,480.5,482.0,482.0,30609465,14843805078,35815,半導體業,台積電,twse,2025-04-14,487.0,0,0,0
2022-11-22T00:00:00.000000,2330,476.0,491.0,476.0,491.0,491.0,39329440,19112616916,40964,半導體業,台積電,twse,2025-04-14,491.0,1,1,0
2022-11-23T00:00:00.000000,2330,494.5,496.0,488.5,492.0,492.0,34752559,17111333375,32889,半導體業,台積電,twse,2025-04-14,492.0,1,1,1
2022-11-24T00:00:00.000000,2330,494.0,496.0,492.0,496.0,496.0,28477359,14073196704,34387,半導體業,台積電,twse,2025-04-14,496.0,1,1,1
2022-11-25T00:00:00.000000,2330,494.0,498.0,494.0,498.0,498.0,41461805,20594790238,34399,半導體業,台積電,twse,2025-04-14,498.0,1,1,1
2022-11-28T00:00:00.000000,2330,486.0,490.0,480.5,480.5,480.5,40815045,19790586320,57163,半導體業,台積電,twse,2025-04-14,498.0,0,0,1
2022-11-29T00:00:00.000000,2330,473.5,488.0,473.0,487.0,487.0,40266315,19374604221,35929,半導體業,台積電,twse,2025-04-14,498.0,0,0,0
2022-11-30T00:00:00.000000,2330,483.0,490.0,482.5,490.0,490.0,60728041,29643130386,25325,半導體業,台積電,twse,2025-04-14,498.0,0,0,0
2022-12-01T00:00:00.000000,2330,506.0,508.0,498.5,498.5,498.5,43684491,21976936461,46181,半導體業,台積電,twse,2025-04-14,498.5,1,1,0
2022-12-02T00:00:00.000000,2330,490.0,497.0,490.0,492.5,492.5,29909021,14745810388,31799,半導體業,台積電,twse,2025-04-14,498.5,0,0,1
2022-12-05T00:00:00.000000,2330,491.5,497.5,489.0,489.0,489.0,33048153,16272219716,31739,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-06T00:00:00.000000,2330,488.0,489.0,478.0,478.0,478.0,44964237,21703863181,44448,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-07T00:00:00.000000,2330,477.0,485.5,475.0,475.0,475.0,39978821,19128832587,43603,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-08T00:00:00.000000,2330,475.0,475.0,467.0,471.5,471.5,28348573,13366736635,45114,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-09T00:00:00.000000,2330,478.0,484.5,476.0,481.5,481.5,28903860,13881674073,25790,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-12T00:00:00.000000,2330,476.5,478.0,473.5,475.0,475.0,24064002,11435789974,34393,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-13T00:00:00.000000,2330,473.0,476.0,471.0,471.5,471.5,36028109,17034191389,36559,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-14T00:00:00.000000,2330,472.0,480.5,472.0,480.5,480.5,35263781,16860500181,25102,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-15T00:00:00.000000,2330,476.0,481.5,474.5,480.5,480.5,26001756,12446105928,21052,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-16T00:00:00.000000,2330,466.5,471.0,465.5,471.0,471.0,51707693,24262026661,69011,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-19T00:00:00.000000,2330,466.5,469.5,465.0,466.5,466.5,24231653,11320207884,30247,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-20T00:00:00.000000,2330,465.0,467.0,455.0,457.5,457.5,33181363,15291302176,59543,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-21T00:00:00.000000,2330,460.0,463.0,457.0,459.0,459.0,40831313,18763874901,31581,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-22T00:00:00.000000,2330,466.5,469.0,464.0,468.0,468.0,14519582,6784664988,16893,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-23T00:00:00.000000,2330,457.5,458.5,455.0,455.0,455.0,26724153,12200056423,63532,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-26T00:00:00.000000,2330,454.0,457.0,453.5,456.5,456.5,9152790,4171194858,16718,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-27T00:00:00.000000,2330,458.0,462.5,457.0,457.0,457.0,10486219,4820155221,13482,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-28T00:00:00.000000,2330,451.0,452.0,446.0,451.0,451.0,34823492,15643266841,59400,半導體業,台積電,twse,2025-04-14,498.5,0,0,0
2022-12-29T00:00:00.000000,2330,444.0,449.5,442.5,446.0,446.0,25596357,11400284554,34637,半導體業,台積電,twse,2025-04-14,492.5,0,0,0
2022-12-30T00:00:00.000000,2330,455.0,456.5,448.5,448.5,448.5,22297604,10079102379,23086,半導體業,台積電,twse,2025-04-14,489.0,0,0,0
2023-01-03T00:00:00.000000,2330,446.0,453.5,443.0,453.0,453.0,15311364,6871973708,22581,半導體業,台積電,twse,2025-04-14,481.5,0,0,0
2023-01-04T00:00:00.000000,2330,449.5,455.0,448.5,449.5,449.5,20626874,9310050329,18233,半導體業,台積電,twse,2025-04-14,481.5,0,0,0
2023-01-05T00:00:00.000000,2330,459.0,459.5,455.0,458.5,458.5,23972099,10972616269,20752,半導體業,台積電,twse,2025-04-14,481.5,0,0,0
2023-01-06T00:00:00.000000,2330,455.0,459.5,455.0,458.5,458.5,21313593,9745142549,16635,半導體業,台積電,twse,2025-04-14,481.5,0,0,0
2023-01-09T00:00:00.000000,2330,468.0,481.0,467.5,481.0,481.0,49186355,23352375299,57305,半導體業,台積電,twse,2025-04-14,481.0,0,1,0
2023-01-10T00:00:00.000000,2330,486.0,487.0,483.0,486.0,486.0,34785370,16867391241,36975,半導體業,台積電,twse,2025-04-14,486.0,1,1,0
2023-01-11T00:00:00.000000,2330,487.0,488.0,482.0,484.5,484.5,21749124,10531314878,25457,半導體業,台積電,twse,2025-04-14,486.0,0,0,1
2023-01-12T00:00:00.000000,2330,487.5,488.0,484.0,486.5,486.5,22416984,10901640739,25780,半導體業,台積電,twse,2025-04-14,486.5,1,1,0
2023-01-13T00:00:00.000000,2330,507.0,509.0,499.0,500.0,500.0,81848755,41113175651,93121,半導體業,台積電,twse,2025-04-14,500.0,1,1,1
2023-01-16T00:00:00.000000,2330,506.0,508.0,503.0,505.0,505.0,38781925,19573968332,48051,半導體業,台積電,twse,2025-04-14,505.0,1,1,1
2023-01-17T00:00:00.000000,2330,504.0,504.0,499.5,503.0,503.0,29443522,14784661794,27930,半導體業,台積電,twse,2025-04-14,505.0,0,0,1
2023-01-30T00:00:00.000000,2330,542.0,543.0,534.0,543.0,543.0,148413161,80057158264,153125,半導體業,台積電,twse,2025-04-14,543.0,1,1,0
2023-01-31T00:00:00.000000,2330,537.0,538.0,521.0,522.0,522.0,79212272,41736937234,74279,半導體業,台積電,twse,2025-04-14,543.0,0,0,1
2023-02-01T00:00:00.000000,2330,532.0,533.0,522.0,530.0,530.0,42539626,22450948467,31487,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-02T00:00:00.000000,2330,538.0,542.0,537.0,540.0,540.0,46523592,25091483557,45495,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-03T00:00:00.000000,2330,540.0,542.0,536.0,542.0,542.0,34156234,18439613447,39674,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-06T00:00:00.000000,2330,532.0,533.0,526.0,526.0,526.0,32208918,17041821849,46279,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-07T00:00:00.000000,2330,524.0,528.0,522.0,523.0,523.0,24362116,12767910080,28519,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
